PassengerId,Survived
892,1
893,1
894,1
895,1
896,1
897,1
898,0
899,0
900,1
901,0
902,1
903,0
904,1
905,0
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,0
916,1
917,0
918,1
919,1
920,1
921,0
922,0
923,0
924,1
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,1
938,0
939,1
940,1
941,1
942,0
943,0
944,1
945,1
946,1
947,0
948,1
949,1
950,0
951,1
952,1
953,0
954,1
955,0
956,1
957,1
958,0
959,0
960,0
961,1
962,0
963,1
964,1
965,0
966,1
967,1
968,1
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,1
977,0
978,0
979,1
980,0
981,1
982,1
983,1
984,1
985,1
986,0
987,1
988,1
989,1
990,0
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,1
1082,0
1083,0
1084,0
1085,1
1086,0
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,0
1094,1
1095,0
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,0
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,1
1227,0
1228,1
1229,1
1230,0
1231,1
1232,1
1233,1
1234,0
1235,1
1236,0
1237,0
1238,1
1239,1
1240,0
1241,1
1242,1
1243,1
1244,0
1245,0
1246,1
1247,0
1248,1
1249,1
1250,1
1251,1
1252,0
1253,1
1254,1
1255,1
1256,1
1257,0
1258,0
1259,0
1260,1
1261,0
1262,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,0
1271,0
1272,1
1273,1
1274,0
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,0
1282,1
1283,1
1284,0
1285,1
1286,0
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,0
1294,1
1295,0
1296,0
1297,0
1298,1
1299,1
1300,0
1301,1
1302,0
1303,1
1304,0
1305,1
1306,1
1307,1
1308,1
1309,0
